Date : 2022-06-28 17:33:12
Directory : /Users/goncalovieira/Desktop/Dealit/dealit-frontend
Total : 124 files,  10187 codes, 85 comments, 808 blanks, all 11080 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          4 |      4,775 |          0 |          4 |      4,779 |
| TypeScript React   |         77 |      2,867 |          4 |        407 |      3,278 |
| TypeScript         |         38 |      2,409 |         79 |        392 |      2,880 |
| XML                |          3 |         93 |          0 |          0 |         93 |
| HTML               |          1 |         22 |          2 |          4 |         28 |
| JSON with Comments |          1 |         21 |          0 |          1 |         22 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                       |        124 |     10,187 |         85 |        808 |     11,080 |
| src                                                                                                                                                     |        117 |      5,352 |         82 |        797 |      6,231 |
| src/api                                                                                                                                                 |          6 |        211 |          0 |         32 |        243 |
| src/assets                                                                                                                                              |          3 |         93 |          0 |          0 |         93 |
| src/components                                                                                                                                          |         68 |      3,333 |         69 |        513 |      3,915 |
| src/components/AccountOptionChange                                                                                                                      |          2 |        175 |          6 |         22 |        203 |
| src/components/AddressContainerSuggestion                                                                                                               |          3 |        168 |          1 |         23 |        192 |
| src/components/AddressContainerSuggestion/__tests__                                                                                                     |          1 |         52 |          0 |          6 |         58 |
| src/components/Breadcrumb                                                                                                                               |          3 |         84 |          2 |         14 |        100 |
| src/components/Breadcrumb/__tests__                                                                                                                     |          1 |         15 |          0 |          2 |         17 |
| src/components/CategoryBar                                                                                                                              |          3 |        108 |          0 |         26 |        134 |
| src/components/CategoryBar/__tests__                                                                                                                    |          1 |         30 |          0 |          9 |         39 |
| src/components/DashboardPageTitle                                                                                                                       |          2 |         30 |          3 |         10 |         43 |
| src/components/DashboardSideBarButton                                                                                                                   |          2 |        136 |         11 |         26 |        173 |
| src/components/Faq                                                                                                                                      |          3 |         92 |          0 |         19 |        111 |
| src/components/Faq/__tests__                                                                                                                            |          1 |         19 |          0 |          4 |         23 |
| src/components/Footer                                                                                                                                   |          3 |         39 |          0 |          9 |         48 |
| src/components/Footer/__tests__                                                                                                                         |          1 |         11 |          0 |          2 |         13 |
| src/components/LoginRegisterContainer                                                                                                                   |          3 |        414 |          0 |         62 |        476 |
| src/components/LoginRegisterContainer/__tests__                                                                                                         |          1 |        108 |          0 |         33 |        141 |
| src/components/Logo                                                                                                                                     |          3 |         47 |          0 |         13 |         60 |
| src/components/Logo/__tests__                                                                                                                           |          1 |         12 |          0 |          4 |         16 |
| src/components/OpenMobileLateralMenu                                                                                                                    |          3 |        162 |          0 |         22 |        184 |
| src/components/OpenMobileLateralMenu/__tests__                                                                                                          |          1 |         14 |          0 |          3 |         17 |
| src/components/OrderContainer                                                                                                                           |          1 |          8 |          0 |          4 |         12 |
| src/components/PrimaryButton                                                                                                                            |          3 |         46 |          0 |         12 |         58 |
| src/components/PrimaryButton/__tests__                                                                                                                  |          1 |         14 |          0 |          4 |         18 |
| src/components/PrimaryInput                                                                                                                             |          2 |         43 |          0 |          8 |         51 |
| src/components/Product                                                                                                                                  |          3 |        105 |          0 |         19 |        124 |
| src/components/Product/__tests__                                                                                                                        |          1 |         23 |          0 |          5 |         28 |
| src/components/ProductDetailsBuyInfo                                                                                                                    |          3 |        323 |         18 |         50 |        391 |
| src/components/ProductDetailsBuyInfo/__tests__                                                                                                          |          1 |         24 |          0 |          3 |         27 |
| src/components/ProductDetailsInfo                                                                                                                       |          3 |        183 |         15 |         32 |        230 |
| src/components/ProductDetailsInfo/__tests__                                                                                                             |          1 |         24 |          0 |          4 |         28 |
| src/components/ProductDetailsPhotosDesktop                                                                                                              |          3 |        156 |          5 |         22 |        183 |
| src/components/ProductDetailsPhotosDesktop/__tests__                                                                                                    |          1 |         24 |          0 |          4 |         28 |
| src/components/ProductDetailsPhotosMobileTablet                                                                                                         |          3 |        117 |          4 |         18 |        139 |
| src/components/ProductDetailsPhotosMobileTablet/__tests__                                                                                               |          1 |         24 |          0 |          4 |         28 |
| src/components/ProductListing                                                                                                                           |          3 |        563 |          4 |         35 |        602 |
| src/components/ProductListing/__tests__                                                                                                                 |          1 |         34 |          0 |          2 |         36 |
| src/components/Searchbar                                                                                                                                |          3 |         67 |          0 |         14 |         81 |
| src/components/Searchbar/__test__                                                                                                                       |          1 |          9 |          0 |          3 |         12 |
| src/components/SecundaryButton                                                                                                                          |          3 |         48 |          0 |         11 |         59 |
| src/components/SecundaryButton/__tests__                                                                                                                |          1 |         16 |          0 |          4 |         20 |
| src/components/SimilarProducts                                                                                                                          |          2 |         47 |          0 |          9 |         56 |
| src/components/SimilarProducts/__tests__                                                                                                                |          1 |         24 |          0 |          4 |         28 |
| src/components/TextLink                                                                                                                                 |          3 |         38 |          0 |         11 |         49 |
| src/components/TextLink/__tests__                                                                                                                       |          1 |         15 |          0 |          4 |         19 |
| src/components/navbar                                                                                                                                   |          3 |        134 |          0 |         22 |        156 |
| src/components/navbar/__tests__                                                                                                                         |          1 |         14 |          0 |          3 |         17 |
| src/hooks                                                                                                                                               |         10 |        236 |          0 |         44 |        280 |
| src/hooks/categories                                                                                                                                    |          1 |         27 |          0 |          4 |         31 |
| src/hooks/products                                                                                                                                      |          5 |         71 |          0 |         14 |         85 |
| src/hooks/products/__tests__                                                                                                                            |          1 |         24 |          0 |          6 |         30 |
| src/hooks/user                                                                                                                                          |          4 |        138 |          0 |         26 |        164 |
| src/hooks/user/__tests__                                                                                                                                |          2 |         88 |          0 |         14 |        102 |
| src/pages                                                                                                                                               |         23 |      1,319 |         12 |        185 |      1,516 |
| src/pages/AccountSettingsPage                                                                                                                           |          2 |         79 |          0 |          9 |         88 |
| src/pages/AddressesPage                                                                                                                                 |          2 |         30 |          0 |          6 |         36 |
| src/pages/App                                                                                                                                           |          1 |         16 |          0 |          3 |         19 |
| src/pages/CreditCardPage                                                                                                                                |          2 |         30 |          0 |          7 |         37 |
| src/pages/DashboardPage                                                                                                                                 |          2 |        101 |          2 |         13 |        116 |
| src/pages/Homepage                                                                                                                                      |          3 |        344 |          0 |         45 |        389 |
| src/pages/Homepage/__tests__                                                                                                                            |          1 |         20 |          0 |          4 |         24 |
| src/pages/LoginRegisterPage                                                                                                                             |          3 |        200 |          0 |         33 |        233 |
| src/pages/LoginRegisterPage/__tests__                                                                                                                   |          1 |         49 |          0 |          9 |         58 |
| src/pages/OrdersPage                                                                                                                                    |          2 |         30 |          0 |          6 |         36 |
